id,nombre,coordenadas,descripcion
4,Peña de Juaica,"4.906027057625852, -74.1292566905699",NULL
5,Cerro el Majui,"4.809801306651902, -74.12346006603666",NULL
6,Capilla La virgen_Vrda Churuguaco alto,"4.887981331965441, -74.15501459709348",NULL
7,Las Cuevas,"4.878290015774147, -74.1514925047604",NULL
8,Templo Colonial,"4.872023600581825, -74.14449024544426",NULL
9,Parque Principal,"4.87203538597556, -74.14505919868584",NULL
10,Parque de la Felicidad,"4.867783797927815, -74.14703070527915",NULL
11,Mirador la Balbanera,"4.867275659710948, -74.08857265103978",NULL
12,CERRO PAN DE AZÚCAR,"4.88716304495745, -74.13376656928915",NULL
13,FAUNATICOS PARQUE TEMÁTICO,"4.878972494723929, -74.09466816295149",NULL
14,La Granja Tenjo,"4.856208198363571, -74.1346274476068",NULL
15,SAN ISIDRO LABRADOR,"4.800113189677056, -74.20550456295179",NULL
